elementType,editType,scriptLength,specialCharRatio,GSB,jsEval,class
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
69,2,-1,0.42857142857142855,-1,-1,benign
69,2,-1,0.42857142857142855,-1,-1,benign
6,2,-1,0.1956521739130435,-1,-1,benign
6,2,-1,0.1956521739130435,-1,-1,benign
6,2,-1,0.1956521739130435,-1,-1,benign
6,2,-1,0.1956521739130435,-1,-1,benign
6,2,-1,0.1956521739130435,-1,-1,benign
38,3,-1,-1,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
0,2,-1,0.23076923076923078,-1,-1,benign
0,2,-1,0.23076923076923078,-1,-1,benign
0,2,-1,0.23076923076923078,-1,-1,benign
0,2,-1,0.23076923076923078,-1,-1,benign
0,2,-1,0.23076923076923078,-1,-1,benign
0,2,-1,0.23076923076923078,-1,-1,benign
0,2,-1,0.23076923076923078,-1,-1,benign
0,2,-1,0.23076923076923078,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
